Kabupaten,Prediksi_2025,Prediksi_2026,Prediksi_2027,Prediksi_2028,Prediksi_2029,Prediksi_2030
Banyu Asin,73.64401201331893,74.08665547045788,74.56312193870043,75.09979818486079,75.77313442611829,76.36934872024277
Banyumas,79.32593602421011,80.01801403095435,80.71302938611699,81.39237388801197,82.06424122703841,82.7338654302075
Banyuwangi,77.27518883853415,77.84256314170608,78.37366513965551,79.11039581503056,79.68556414439456,80.13954953522598
Barito Kuala,72.80675761687064,73.05291055152576,73.57113075839165,74.1975029649023,74.87616858200519,75.57958394881284
Barito Selatan,76.83648215101407,77.36333983332187,77.9234149542385,78.43602978455694,78.91269534683134,79.3759794617421
Barito Timur,78.19730435179521,79.11239387373584,79.87791023487664,80.73013353159523,81.6488969134106,82.44004687010337
Barito Utara,76.87216442311073,77.26693573074272,77.71488011022122,78.1231979267387,78.47550333403964,78.79983637955378
Barru,77.36838449997721,77.69144234026325,78.39491021831441,79.2034200962528,79.73012686513981,80.07466730161265
Batang,75.13023133582746,75.46069770084476,75.93094539849804,76.42543287277547,76.96361211239478,77.41686544131262
Batang Hari,76.16132260642851,76.6561479328616,77.11207185412756,77.6514957662976,78.18455053851616,78.7054631655774
Batu Bara,75.04393762750797,75.55384092470581,76.26834526490218,76.99366625258189,77.54310162144793,78.06388111304089
Bekasi,81.46625904698374,81.9832945447863,82.57082427268374,83.19222594634388,83.82014005364431,84.35977095757988
Belitung,79.26405950739587,79.68572165345451,80.31798930491902,80.9126744513758,81.32889070019115,81.83736520179437
Belitung Timur,78.27863670647994,78.95192739575943,79.43160945337712,80.02122893502957,80.68813275503506,81.2191393361982
Belu,68.13944544074558,68.66555191105634,69.1900803627376,69.7132169203354,70.20620860019419,70.68690888614047
Bener Meriah,79.74524750765792,80.34178943926467,80.91316598999424,81.43797777821062,81.96935884930498,82.52057458434447
Bengkalis,80.025327219266,80.6094858648044,81.14033892920462,81.53529797242552,81.95802593249508,82.45546026068273
Bengkayang,74.77425763511691,75.22472884145286,75.89651115252053,76.67541909996346,77.40284937831237,77.97906430425238
Bengkulu Selatan,76.51258728109154,76.89647184256737,77.50842721315426,78.04128229160439,78.44039203726138,78.68128806057769
Bengkulu Tengah,73.97682035536943,74.48863862743572,75.0544448600265,75.60465332348973,76.29975740454421,76.9373193077047
Bengkulu Utara,75.47833951527222,76.01435301416956,76.60568742636706,76.98017734985538,77.53014680206884,78.08309863850381
Berau,81.51758397123042,82.01660761938247,82.45196040558794,82.91630603082677,83.33817130443802,83.78260643151062
Biak Numfor,78.07579338595895,78.33930814011096,78.91964133661158,79.43396287210848,79.74061232726925,79.88196598140675
Bima,72.88661519403692,73.52389790483215,74.22524988579298,74.9073752088239,75.4933309041598,76.05663474186498
Bintan,80.85261994602132,81.19945672785404,81.56132991914876,82.22990390394114,82.81744320434912,83.38889214286539
Bireuen,78.85324110185873,79.4183408807568,79.93638687998977,80.50685425776248,81.09023418142313,81.52587270191898
Blitar,78.17895377005702,79.08697473368368,79.72832478590206,80.4814979308256,81.35356087384326,82.03762939379675
Blora,75.85587917453304,76.49377734848451,76.98859417634444,77.66515794634441,78.35345502358955,79.0237263015689
Boalemo,72.82940641230994,73.40232815971405,74.24454642333815,75.20116340406354,75.91128540100534,76.47244924407494
Bogor,76.490470201187,76.79354337499134,77.34643221958264,77.91169374658716,78.38470627581535,78.55198818954796
Bojonegoro,76.11237166048518,76.72695489923453,77.53078274207516,78.36242745708307,78.9428442705017,79.58200972534894
Bolaang Mongondow,74.87402681067057,75.38331130171126,76.0732600804677,76.78257518204559,77.3582597261613,77.95031681342726
Bolaang Mongondow Selatan,70.77357191076597,71.08026446047961,71.46155131286179,71.8165246317021,72.4106557390716,72.79537430801825
Bolaang Mongondow Timur,73.21172253803351,74.02689869383711,74.788950708542,75.58028552438905,76.42830616981068,77.1654426038724
Bolaang Mongondow Utara,73.41643669031494,73.76499629113002,74.40924411106872,75.01088038748647,75.70315548623742,76.12201057123609
Bombana,72.81916041849678,73.42712939300567,73.87860298542492,74.40429375319853,74.90346601426256,75.56381242447137
Bondowoso,72.6046121763776,73.45460929285376,74.14509154716248,74.9498272509796,75.77289093229096,76.45897102475737
Bone,72.31808866848102,72.9857883610654,73.65690458215764,74.26066654955154,74.85169736473647,75.46142051356034
Bone Bolango,76.95315262909655,77.43113101706533,78.09318807676595,78.67863740740229,79.40283646088365,80.14197691417422
Boven Digoel,66.60010029774136,67.29540439807772,68.22105175975105,68.47625460725493,68.52846803824296,69.0200205002492
Boyolali,80.88419866712562,81.25983557846284,81.76487406579542,82.22002821993897,82.69650653393067,83.12786934236634
Brebes,71.97582086757065,72.18763879711584,72.61938668286012,73.31753876629402,73.9581230708724,74.40817913215082
Buleleng,78.8278017815697,79.57751096058762,80.14823270489084,80.71312464514769,81.17417526099428,81.79756783053335
Bulukumba,76.79719029653113,77.82669169974474,78.78171785633732,79.80822514782992,80.82897181728738,81.79589106734164
Bulungan,77.41720978373827,78.06979126886785,78.23324302505038,78.88390976171658,79.34435097079381,79.4266765998176
Bungo,76.69083480474086,77.35781828477836,78.01383604886429,78.51637290256754,79.01547181245289,79.62430404065508
Buol,74.92138692754567,75.47738314953801,75.87855965372765,76.47246508115138,77.01462000145985,77.78002069785867
Buru,75.08609178871731,75.40810219157075,75.85173380950194,76.39544871256815,76.92138555644718,77.35306607190066
Buru Selatan,71.40946441610447,71.95941822833046,72.42178124565457,73.0641766704926,73.90139043612209,74.7170516262681
Buton,72.90700720086123,73.47361996828815,74.27405080445384,75.2701125415188,76.02190459940412,76.57171748715352
Buton Selatan,70.93379241110785,71.5313345454785,72.15134826760041,72.73424346572625,73.20358678399546,73.6572993562015
Buton Tengah,70.32083761686354,71.06488981866812,71.63479150975886,72.21397672367375,72.7444379618104,73.26571725945745
Buton Utara,75.35124653110076,75.74867918101532,76.49348621806428,77.21183988863663,77.90741465693745,78.65655013759182
Ciamis,76.6967735321904,77.15528786705988,77.7085804273027,78.27046780945666,78.79229301955586,79.19051595692515
Cianjur,71.17372808149308,71.41903341176142,71.66461192336907,72.2318466702746,72.89573219543247,73.38627715838622
Cilacap,76.59936598408314,77.12306553367763,77.66777383075502,78.2585726641751,78.88384945060875,79.30276544977832
Cirebon,75.76025997334213,76.35109285333964,77.24240053508689,78.07484812410583,78.6260078439695,79.084105294202
Dairi,78.62753752097449,79.17546756843336,79.80254286758642,80.42787696381474,80.99026250761466,81.51602073747819
Deiyai,52.22061032866106,52.62708496151163,53.25255299006094,53.714922104882355,53.79479537409697,53.94122025563075
Deli Serdang,81.96328527101812,82.50150589116798,82.85769640936766,83.25780225388581,83.67517795264679,84.01584360808255
Demak,79.40798032078483,80.1448979731389,80.84874853899255,81.43992383271802,82.03967021011361,82.70926005277217
Dharmasraya,78.91061896510527,79.451635185636,80.08825600589127,80.70599463591542,81.47521298400746,82.11920454326196
Dogiyai,59.003217703680185,59.25660199606963,59.84549180219362,60.22648661860198,60.40994880703605,60.57011662017646
Dompu,75.39188475104872,76.21122899688147,77.02775234427979,77.80448060745495,78.55968231645691,79.29237051996812
